DRN - Dropout_Rates: [0.08978913, 0.096761525] 
DRN - Dropout_Rates: [0.08607466, 0.09551813] 
DRN - Dropout_Rates: [0.08378868, 0.09790738] 
DRN - Dropout_Rates: [0.0807356, 0.10008298] 
BQN - Dropout_Rates: [0.09323742, 0.10066207] 
BQN - Dropout_Rates: [0.08056017, 0.098768085] 
BQN - Dropout_Rates: [0.08675148, 0.10123095] 
BQN - Dropout_Rates: [0.07598793, 0.10054884] 
DRN - Dropout_Rates: [0.087618366, 0.09923552] 
DRN - Dropout_Rates: [0.10199859, 0.10195023] 
DRN - Dropout_Rates: [0.07550094, 0.09510664] 
DRN - Dropout_Rates: [0.08711981, 0.10175181] 
BQN - Dropout_Rates: [0.08704371, 0.100708045] 
BQN - Dropout_Rates: [0.090079166, 0.10419523] 
BQN - Dropout_Rates: [0.066778205, 0.085940145] 
BQN - Dropout_Rates: [0.07377555, 0.09782432] 
DRN - Dropout_Rates: [0.08414754, 0.102002785] 
DRN - Dropout_Rates: [0.08360225, 0.10050556] 
DRN - Dropout_Rates: [0.08930883, 0.10137551] 
DRN - Dropout_Rates: [0.09317281, 0.101876065] 
BQN - Dropout_Rates: [0.088781945, 0.1035348] 
BQN - Dropout_Rates: [0.089804664, 0.10282659] 
BQN - Dropout_Rates: [0.08200662, 0.102082685] 
BQN - Dropout_Rates: [0.08981666, 0.10209522] 
DRN - Dropout_Rates: [0.08994895, 0.101230524] 
DRN - Dropout_Rates: [0.089334965, 0.09748834] 
DRN - Dropout_Rates: [0.088788286, 0.10176139] 
DRN - Dropout_Rates: [0.08702306, 0.10097402] 
BQN - Dropout_Rates: [0.0840622, 0.102163985] 
BQN - Dropout_Rates: [0.091626786, 0.102123] 
BQN - Dropout_Rates: [0.08263164, 0.10098823] 
BQN - Dropout_Rates: [0.08880739, 0.10082131] 
DRN - Dropout_Rates: [0.09781656, 0.100560814] 
DRN - Dropout_Rates: [0.08186711, 0.09869405] 
DRN - Dropout_Rates: [0.0810622, 0.0971614] 
DRN - Dropout_Rates: [0.07966983, 0.09925082] 
BQN - Dropout_Rates: [0.09673244, 0.10333773] 
BQN - Dropout_Rates: [0.08523786, 0.09997172] 
BQN - Dropout_Rates: [0.07072412, 0.09024789] 
BQN - Dropout_Rates: [0.08661417, 0.10518809] 
